param : syllabes : mot nb_syllabes :=
# numero_mot nb_syllabes
691 2
5753 2
4219 2
612 2
1024 3
1335 3
3390 3
2796 4
4072 2
5760 2
4306 3
3970 3
3044 3
4542 3
3624 2
3026 2
5170 2
5469 1
2041 2
3054 2
1467 2
5422 3
14 0
1139 0
2289 3
1959 0
6140 2
29 1
1058 0
90 0
25 0
764 0
95 0
509 1
259 0
617 2
273 0
1179 4
181 0
258 0
1502 3
6322 2
68 0
3274 2
4608 1
69 1
2519 0
1090 1
383 1
290 1
371 4
4865 3
4931 2
6014 2
3481 2
5233 4
4362 2
2714 2
4718 1
5184 2
4495 3
596 4
5604 2
5243 3
3915 2
543 2
1746 3
3662 2
1614 2
52 1
2080 2
5902 1
6285 2
3271 3
4734 2
4687 2
5287 2
1435 2
3500 4
1578 3
1269 3
6179 2
3295 2
1697 3
1252 3
4946 2
210 2
1783 4
6399 1
4369 2
2851 3
2189 2
1666 3
3723 2
1886 2
494 3
1547 3
1302 2
6139 4
5526 3
6246 2
3900 1
2301 2
5381 3
4919 3
943 2
1305 1
6405 4
2444 1
1704 2
3882 2
4478 3
3243 4
6357 4
5977 3
1499 1
4947 4
5320 2
2448 1
717 3
2149 2
5286 3
2155 2
465 2
6598 3
968 2
4280 2
1955 1
4916 2
2376 3
5473 1
3264 3
4358 2
128 3
6313 5
3368 3
2597 2
1617 3
582 2
2566 2
1758 2
3956 2
4839 3
5761 3
2571 3
1520 3
6552 2
5701 3
6089 3
6143 2
4982 2
5207 3
1235 4
4729 2
684 3
4768 2
2633 3
2954 3
2484 3
4293 4
1975 4
2123 2
5310 2
2668 2
2638 1
4837 2
5319 3
2378 2
1819 2
1663 3
264 2
4711 1
6603 4
3066 3
1688 3
6254 3
2051 3
4376 3
5907 2
4241 2
2617 2
526 2
2425 2
3704 1
4753 3
5029 2
3603 2
4993 2
4501 2
1433 3
4386 4
4394 2
4935 3
6030 2
326 2
2203 2
1069 3
4321 1
4363 2
6164 1
3958 1
4804 3
1870 1
1091 1
1304 2
4761 3
3382 2
3479 2
936 2
5814 4
436 2
3450 2
1773 1
2330 5
5442 3
215 1
3545 3
2713 4
653 3
4412 3
476 4
2815 2
4898 2
3564 2
5681 2
4655 2
5200 3
5435 2
481 4
4870 2
93 3
1840 2
429 3
3402 2
6388 2
6573 2
2674 3
4350 3
3783 2
3568 3
4815 2
4059 4
4464 5
4594 1
998 1
4397 2
2692 4
2938 2
3374 2
5588 2
4343 2
4674 2
1590 2
2137 2
6605 2
5163 2
137 4
2939 3
5132 2
5579 4
24 2
4770 2
4220 2
2380 2
5079 3
4190 3
6007 2
5188 2
6017 3
663 2
6251 1
5557 3
2838 2
2331 2
3241 3
3222 3
2606 3
1421 2
1619 4
1606 2
3735 2
5973 3
1504 4
3171 2
5906 2
4511 2
2459 3
